Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.64313394
Albania,ALB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.67507172
Algeria,DZA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.14140797
American Samoa,ASM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..
Andorra,AND,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.59379148
Angola,AGO,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.29187
Antigua and Barbuda,ATG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.73786783
Argentina,ARG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,6.59935617
Armenia,ARM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.37250602
Aruba,ABW,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..
Australia,AUS,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,6.36546087
Austria,AUT,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,7.4457655
Azerbaijan,AZE,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.00201261
"Bahamas, The",BHS,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.657933
Bahrain,BHR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.74979949
Bangladesh,BGD,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.40603626
Barbados,BRB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.0033567
Belarus,BLR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.98054719
Belgium,BEL,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,8.33751106
Belize,BLZ,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.97645974
Benin,BEN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.81440628
Bermuda,BMU,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..
Bhutan,BTN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.48946476
Bolivia,BOL,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.44758177
Bosnia and Herzegovina,BIH,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,6.26775646
Botswana,BWA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.64136362
Brazil,BRA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.95314622
British Virgin Islands,VGB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..
Brunei Darussalam,BRN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.14750528
Bulgaria,BGR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.13160944
Burkina Faso,BFA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.61084127
Burundi,BDI,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.04083753
Cabo Verde,CPV,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.28108525
Cambodia,KHM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.51867294
Cameroon,CMR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.14560163
Canada,CAN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,7.56277943
Cayman Islands,CYM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..
Central African Republic,CAF,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.72882235
Chad,TCD,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.69614929
Channel Islands,CHI,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..
Chile,CHL,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.57049799
China,CHN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.87102747
Colombia,COL,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,5.4549818
Comoros,COM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.67584759
"Congo, Dem. Rep.",COD,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.41352716
"Congo, Rep.",COG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.96620154
Costa Rica,CRI,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,5.17889643
Cote d'Ivoire,CIV,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.94937867
Croatia,HRV,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,5.59909582
Cuba,CUB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,10.47486115
Curacao,CUW,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..
Cyprus,CYP,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.75970554
Czech Republic,CZE,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,5.83938646
Denmark,DNK,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,8.43570423
Djibouti,DJI,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.14448988
Dominica,DMA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.7642355
Dominican Republic,DOM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.68219995
Ecuador,ECU,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.54476023
"Egypt, Arab Rep.",EGY,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.7446686
El Salvador,SLV,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.59784555
Equatorial Guinea,GNQ,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.59081894
Eritrea,ERI,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.00735641
Estonia,EST,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.84546947
Eswatini,SWZ,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.54254961
Ethiopia,ETH,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.86126679
Faroe Islands,FRO,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..
Fiji,FJI,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.11070943
Finland,FIN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,7.11996555
France,FRA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,8.59649086
French Polynesia,PYF,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..
Gabon,GAB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.759763
"Gambia, The",GMB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.06097889
Georgia,GEO,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.62671113
Germany,DEU,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,8.80528641
Ghana,GHA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.08722985
Gibraltar,GIB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..
Greece,GRC,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.22217941
Greenland,GRL,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..
Grenada,GRD,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.88796353
Guam,GUM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..
Guatemala,GTM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.2005887
Guinea,GIN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.59996831
Guinea-Bissau,GNB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.49838862
