Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Afghanistan,AFG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,23
Albania,ALB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.1
Algeria,DZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.7
American Samoa,ASM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Andorra,AND,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Angola,AGO,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,15.4
Antigua and Barbuda,ATG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Argentina,ARG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.1
Armenia,ARM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3.1
Aruba,ABW,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Australia,AUS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Austria,AUT,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Azerbaijan,AZE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
"Bahamas, The",BHS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Bahrain,BHR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Bangladesh,BGD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,12.5
Barbados,BRB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.3
Belarus,BLR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Belgium,BEL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Belize,BLZ,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,6.7
Benin,BEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,7.2
Bermuda,BMU,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Bhutan,BTN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Bolivia,BOL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,12.5
Bosnia and Herzegovina,BIH,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
Botswana,BWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,28.9
Brazil,BRA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
British Virgin Islands,VGB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..
Brunei Darussalam,BRN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.5
