Series Name,Series Code,Country Name,Country Code,2017 [YR2017]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Afghanistan,AFG,6.575
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Africa Eastern and Southern,AFE,7.69145731275394
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Africa Western and Central,AFW,10.3936376135065
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Albania,ALB,7.714
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Algeria,DZA,4.717
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,American Samoa,ASM,5.1
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Andorra,AND,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Angola,AGO,8.432
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Antigua and Barbuda,ATG,6.316
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Arab World,ARB,5.41342922184408
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Argentina,ARG,7.616
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Armenia,ARM,9.862
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Aruba,ABW,8.907
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Australia,AUS,6.5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Austria,AUT,9.5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Azerbaijan,AZE,5.8
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Bahamas, The",BHS,6.72
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bahrain,BHR,2.368
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bangladesh,BGD,5.533
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Barbados,BRB,8.936
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Belarus,BLR,12.6
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Belgium,BEL,9.6
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Belize,BLZ,4.681
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Benin,BEN,9.025
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bermuda,BMU,7.5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bhutan,BTN,6.243
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bolivia,BOL,6.795
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bosnia and Herzegovina,BIH,10.563
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Botswana,BWA,5.834
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Brazil,BRA,6.378
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,British Virgin Islands,VGB,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Brunei Darussalam,BRN,4.345
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bulgaria,BGR,15.5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Burkina Faso,BFA,8.341
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Burundi,BDI,8.106
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Cabo Verde,CPV,5.682
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Cambodia,KHM,6.017
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Cameroon,CMR,9.501
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Canada,CAN,7.5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Caribbean small states,CSS,7.53914498085229
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Cayman Islands,CYM,3.4
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Central African Republic,CAF,12.671
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Central Europe and the Baltics,CEB,11.9764024346954
